Step #0.00 (0ms ?*RT. ?UPS, TraCI: 0ms, vehicles TOT 1 ACT 1 BUF 0)                       
Step #5.00 (1ms ~= 50.00*RT, ~46000.00UPS, TraCI: 2ms, vehicles TOT 46 ACT 46 BUF 0)      
Step #10.00 (1ms ~= 50.00*RT, ~89000.00UPS, TraCI: 3ms, vehicles TOT 89 ACT 89 BUF 1)     
Step #15.00 (2ms ~= 25.00*RT, ~68000.00UPS, TraCI: 6ms, vehicles TOT 136 ACT 136 BUF 2)   
Step #20.00 (2ms ~= 25.00*RT, ~91500.00UPS, TraCI: 8ms, vehicles TOT 183 ACT 183 BUF 2)   
Step #25.00 (4ms ~= 12.50*RT, ~56000.00UPS, TraCI: 9ms, vehicles TOT 225 ACT 224 BUF 5)   
Step #30.00 (5ms ~= 10.00*RT, ~53800.00UPS, TraCI: 11ms, vehicles TOT 271 ACT 269 BUF 5)  
Step #35.00 (4ms ~= 12.50*RT, ~79000.00UPS, TraCI: 11ms, vehicles TOT 318 ACT 316 BUF 7)  
Step #40.00 (5ms ~= 10.00*RT, ~73200.00UPS, TraCI: 14ms, vehicles TOT 368 ACT 366 BUF 6)  
Step #45.00 (5ms ~= 10.00*RT, ~83000.00UPS, TraCI: 16ms, vehicles TOT 417 ACT 415 BUF 5)  
Step #50.00 (7ms ~= 7.14*RT, ~65428.57UPS, TraCI: 18ms, vehicles TOT 462 ACT 458 BUF 9)   
Step #55.00 (8ms ~= 6.25*RT, ~63375.00UPS, TraCI: 21ms, vehicles TOT 512 ACT 507 BUF 9)   
Step #60.00 (9ms ~= 5.56*RT, ~61000.00UPS, TraCI: 26ms, vehicles TOT 554 ACT 549 BUF 13)  
Step #65.00 (9ms ~= 5.56*RT, ~66666.67UPS, TraCI: 23ms, vehicles TOT 606 ACT 600 BUF 8)   
Step #70.00 (11ms ~= 4.55*RT, ~58181.82UPS, TraCI: 29ms, vehicles TOT 646 ACT 640 BUF 14) 
Step #75.00 (10ms ~= 5.00*RT, ~68100.00UPS, TraCI: 25ms, vehicles TOT 689 ACT 681 BUF 18) 
Step #80.00 (10ms ~= 5.00*RT, ~72500.00UPS, TraCI: 27ms, vehicles TOT 737 ACT 725 BUF 16) 
Step #85.00 (11ms ~= 4.55*RT, ~69454.55UPS, TraCI: 28ms, vehicles TOT 781 ACT 764 BUF 14) 
Step #90.00 (12ms ~= 4.17*RT, ~66916.67UPS, TraCI: 30ms, vehicles TOT 823 ACT 803 BUF 19) 
Step #95.00 (13ms ~= 3.85*RT, ~64923.08UPS, TraCI: 39ms, vehicles TOT 867 ACT 844 BUF 22) 
Step #100.00 (13ms ~= 3.85*RT, ~67692.31UPS, TraCI: 37ms, vehicles TOT 906 ACT 880 BUF 29)
Step #105.00 (12ms ~= 4.17*RT, ~74083.33UPS, TraCI: 34ms, vehicles TOT 920 ACT 889 BUF 15)
Step #110.00 (14ms ~= 3.57*RT, ~63642.86UPS, TraCI: 37ms, vehicles TOT 928 ACT 891 BUF 7) 
Step #115.00 (12ms ~= 4.17*RT, ~73916.67UPS, TraCI: 38ms, vehicles TOT 929 ACT 887 BUF 6) 
Step #120.00 (12ms ~= 4.17*RT, ~73333.33UPS, TraCI: 35ms, vehicles TOT 930 ACT 880 BUF 5) 
Step #125.00 (13ms ~= 3.85*RT, ~67384.62UPS, TraCI: 39ms, vehicles TOT 931 ACT 876 BUF 4) 
Step #130.00 (12ms ~= 4.17*RT, ~72166.67UPS, TraCI: 31ms, vehicles TOT 931 ACT 866 BUF 4) 
Step #135.00 (12ms ~= 4.17*RT, ~71916.67UPS, TraCI: 31ms, vehicles TOT 933 ACT 863 BUF 2) 
Step #140.00 (13ms ~= 3.85*RT, ~65923.08UPS, TraCI: 35ms, vehicles TOT 933 ACT 857 BUF 2) 
Step #145.00 (12ms ~= 4.17*RT, ~71083.33UPS, TraCI: 32ms, vehicles TOT 933 ACT 853 BUF 2) 
Step #150.00 (11ms ~= 4.55*RT, ~76727.27UPS, TraCI: 31ms, vehicles TOT 933 ACT 844 BUF 2) 
Step #155.00 (13ms ~= 3.85*RT, ~64076.92UPS, TraCI: 32ms, vehicles TOT 933 ACT 833 BUF 2) 
Step #160.00 (13ms ~= 3.85*RT, ~63769.23UPS, TraCI: 41ms, vehicles TOT 933 ACT 829 BUF 2) 
Step #165.00 (12ms ~= 4.17*RT, ~68083.33UPS, TraCI: 31ms, vehicles TOT 933 ACT 817 BUF 2) 
Step #170.00 (11ms ~= 4.55*RT, ~72545.45UPS, TraCI: 30ms, vehicles TOT 933 ACT 798 BUF 2) 
Step #175.00 (16ms ~= 3.12*RT, ~49125.00UPS, TraCI: 42ms, vehicles TOT 933 ACT 786 BUF 2) 
Step #180.00 (11ms ~= 4.55*RT, ~70818.18UPS, TraCI: 27ms, vehicles TOT 933 ACT 779 BUF 2) 
Step #185.00 (11ms ~= 4.55*RT, ~70272.73UPS, TraCI: 33ms, vehicles TOT 933 ACT 773 BUF 2) 
Step #190.00 (10ms ~= 5.00*RT, ~76700.00UPS, TraCI: 28ms, vehicles TOT 933 ACT 767 BUF 2) 
Step #195.00 (11ms ~= 4.55*RT, ~68909.09UPS, TraCI: 30ms, vehicles TOT 934 ACT 758 BUF 1) 
Step #200.00 (11ms ~= 4.55*RT, ~68090.91UPS, TraCI: 27ms, vehicles TOT 934 ACT 749 BUF 1) 
Step #205.00 (10ms ~= 5.00*RT, ~73400.00UPS, TraCI: 27ms, vehicles TOT 934 ACT 734 BUF 1) 
Step #210.00 (10ms ~= 5.00*RT, ~72700.00UPS, TraCI: 28ms, vehicles TOT 934 ACT 727 BUF 1) 
Step #215.00 (10ms ~= 5.00*RT, ~71200.00UPS, TraCI: 28ms, vehicles TOT 934 ACT 712 BUF 1) 
Step #220.00 (10ms ~= 5.00*RT, ~70100.00UPS, TraCI: 26ms, vehicles TOT 934 ACT 701 BUF 1) 
Step #225.00 (9ms ~= 5.56*RT, ~76777.78UPS, TraCI: 28ms, vehicles TOT 934 ACT 691 BUF 1)  
Step #230.00 (9ms ~= 5.56*RT, ~75444.44UPS, TraCI: 25ms, vehicles TOT 934 ACT 679 BUF 1)  
Step #235.00 (9ms ~= 5.56*RT, ~73888.89UPS, TraCI: 25ms, vehicles TOT 934 ACT 665 BUF 1)  
Step #240.00 (9ms ~= 5.56*RT, ~72777.78UPS, TraCI: 24ms, vehicles TOT 934 ACT 655 BUF 1)  
Step #245.00 (9ms ~= 5.56*RT, ~72111.11UPS, TraCI: 24ms, vehicles TOT 934 ACT 649 BUF 1)  
Step #250.00 (9ms ~= 5.56*RT, ~70777.78UPS, TraCI: 24ms, vehicles TOT 934 ACT 637 BUF 1)  
Step #255.00 (9ms ~= 5.56*RT, ~69888.89UPS, TraCI: 23ms, vehicles TOT 934 ACT 629 BUF 1)  
Step #260.00 (8ms ~= 6.25*RT, ~77000.00UPS, TraCI: 24ms, vehicles TOT 934 ACT 616 BUF 1)  
Step #265.00 (8ms ~= 6.25*RT, ~75500.00UPS, TraCI: 22ms, vehicles TOT 934 ACT 604 BUF 1)  
Step #270.00 (9ms ~= 5.56*RT, ~65222.22UPS, TraCI: 21ms, vehicles TOT 934 ACT 587 BUF 1)  
Step #275.00 (8ms ~= 6.25*RT, ~71125.00UPS, TraCI: 21ms, vehicles TOT 934 ACT 569 BUF 1)  
Step #280.00 (8ms ~= 6.25*RT, ~69250.00UPS, TraCI: 22ms, vehicles TOT 934 ACT 554 BUF 1)  
Step #285.00 (8ms ~= 6.25*RT, ~67000.00UPS, TraCI: 25ms, vehicles TOT 934 ACT 536 BUF 1)  
Step #290.00 (7ms ~= 7.14*RT, ~75714.29UPS, TraCI: 20ms, vehicles TOT 934 ACT 530 BUF 1)  
Step #295.00 (7ms ~= 7.14*RT, ~73571.43UPS, TraCI: 19ms, vehicles TOT 934 ACT 515 BUF 1)  
Step #300.00 (7ms ~= 7.14*RT, ~72285.71UPS, TraCI: 19ms, vehicles TOT 934 ACT 506 BUF 1)  
Step #305.00 (7ms ~= 7.14*RT, ~70857.14UPS, TraCI: 19ms, vehicles TOT 934 ACT 496 BUF 1)  
Step #310.00 (6ms ~= 8.33*RT, ~80500.00UPS, TraCI: 18ms, vehicles TOT 934 ACT 483 BUF 1)  
Step #315.00 (6ms ~= 8.33*RT, ~79166.67UPS, TraCI: 17ms, vehicles TOT 934 ACT 475 BUF 1)  
Step #320.00 (7ms ~= 7.14*RT, ~66857.14UPS, TraCI: 17ms, vehicles TOT 934 ACT 468 BUF 1)  
Step #325.00 (6ms ~= 8.33*RT, ~76333.33UPS, TraCI: 17ms, vehicles TOT 934 ACT 458 BUF 1)  
Step #330.00 (6ms ~= 8.33*RT, ~75000.00UPS, TraCI: 17ms, vehicles TOT 934 ACT 450 BUF 1)  
Step #335.00 (6ms ~= 8.33*RT, ~73000.00UPS, TraCI: 16ms, vehicles TOT 934 ACT 438 BUF 1)  
Step #340.00 (5ms ~= 10.00*RT, ~86000.00UPS, TraCI: 15ms, vehicles TOT 934 ACT 430 BUF 1) 
Step #345.00 (6ms ~= 8.33*RT, ~70500.00UPS, TraCI: 16ms, vehicles TOT 934 ACT 423 BUF 1)  
Step #350.00 (6ms ~= 8.33*RT, ~68833.33UPS, TraCI: 17ms, vehicles TOT 934 ACT 413 BUF 1)  
Step #355.00 (6ms ~= 8.33*RT, ~67666.67UPS, TraCI: 15ms, vehicles TOT 934 ACT 406 BUF 1)  
Step #360.00 (5ms ~= 10.00*RT, ~79400.00UPS, TraCI: 16ms, vehicles TOT 934 ACT 397 BUF 1) 
Step #365.00 (5ms ~= 10.00*RT, ~78400.00UPS, TraCI: 17ms, vehicles TOT 934 ACT 392 BUF 1) 
Step #370.00 (5ms ~= 10.00*RT, ~76600.00UPS, TraCI: 15ms, vehicles TOT 934 ACT 383 BUF 1) 
Step #375.00 (5ms ~= 10.00*RT, ~75000.00UPS, TraCI: 14ms, vehicles TOT 934 ACT 375 BUF 1) 
Step #380.00 (5ms ~= 10.00*RT, ~73200.00UPS, TraCI: 14ms, vehicles TOT 934 ACT 366 BUF 1) 
Step #385.00 (4ms ~= 12.50*RT, ~90000.00UPS, TraCI: 13ms, vehicles TOT 934 ACT 360 BUF 1) 
Step #390.00 (4ms ~= 12.50*RT, ~88500.00UPS, TraCI: 13ms, vehicles TOT 934 ACT 354 BUF 1) 
Step #395.00 (5ms ~= 10.00*RT, ~68200.00UPS, TraCI: 13ms, vehicles TOT 934 ACT 341 BUF 1) 
Step #400.00 (4ms ~= 12.50*RT, ~84750.00UPS, TraCI: 13ms, vehicles TOT 934 ACT 339 BUF 1) 
Step #405.00 (4ms ~= 12.50*RT, ~83000.00UPS, TraCI: 14ms, vehicles TOT 934 ACT 332 BUF 1) 
Step #410.00 (4ms ~= 12.50*RT, ~82250.00UPS, TraCI: 12ms, vehicles TOT 934 ACT 329 BUF 1) 
Step #415.00 (4ms ~= 12.50*RT, ~81000.00UPS, TraCI: 12ms, vehicles TOT 934 ACT 324 BUF 1) 
Step #420.00 (4ms ~= 12.50*RT, ~79500.00UPS, TraCI: 11ms, vehicles TOT 934 ACT 318 BUF 1) 
Step #425.00 (4ms ~= 12.50*RT, ~77750.00UPS, TraCI: 11ms, vehicles TOT 934 ACT 311 BUF 1) 
Step #430.00 (4ms ~= 12.50*RT, ~76000.00UPS, TraCI: 16ms, vehicles TOT 934 ACT 304 BUF 1) 
Step #435.00 (4ms ~= 12.50*RT, ~75000.00UPS, TraCI: 12ms, vehicles TOT 934 ACT 300 BUF 1) 
Step #440.00 (4ms ~= 12.50*RT, ~74000.00UPS, TraCI: 11ms, vehicles TOT 934 ACT 296 BUF 1) 
Step #445.00 (3ms ~= 16.67*RT, ~98333.33UPS, TraCI: 11ms, vehicles TOT 934 ACT 295 BUF 1) 
